country,quarter,top5share
ES,2023-Q2,41.64
ES,2023-Q3,41.36
ES,2023-Q4,41.64
ES,2024-Q1,41.67
ES,2024-Q2,41.5
ES,2024-Q3,41.51
ES,2024-Q4,41.44
ES,2025-Q1,41.42
FI,2009-Q4,43.42
FI,2010-Q1,43.48
FI,2010-Q2,43.32
FI,2010-Q3,43.94
FI,2010-Q4,44.08
FI,2011-Q1,43.79
FI,2011-Q2,43.22
FI,2011-Q3,42.83
FI,2011-Q4,42.81
FI,2012-Q1,42.8
FI,2012-Q2,42.4
FI,2012-Q3,42.22
FI,2012-Q4,42.26
FI,2013-Q1,42.48
FI,2013-Q2,42.39
FI,2013-Q3,42.52
FI,2013-Q4,42.54
FI,2014-Q1,42.8
FI,2014-Q2,43.03
FI,2014-Q3,43.36
FI,2014-Q4,43.56
FI,2015-Q1,43.96
FI,2015-Q2,43.8
FI,2015-Q3,43.63
FI,2015-Q4,43.95
FI,2016-Q1,44.13
FI,2016-Q2,44.08
FI,2016-Q3,44.21
FI,2016-Q4,44.5
FI,2017-Q1,44.68
FI,2017-Q2,44.74
FI,2017-Q3,44.74
FI,2017-Q4,44.94
FI,2018-Q1,44.92
FI,2018-Q2,44.93
FI,2018-Q3,45.16
FI,2018-Q4,44.93
FI,2019-Q1,45.3
FI,2019-Q2,45.36
FI,2019-Q3,45.53
FI,2019-Q4,45.81
FI,2020-Q1,45.25
FI,2020-Q2,45.4
FI,2020-Q3,45.38
FI,2020-Q4,45.63
FI,2021-Q1,45.83
FI,2021-Q2,45.86
FI,2021-Q3,45.95
FI,2021-Q4,45.96
FI,2022-Q1,45.24
FI,2022-Q2,44.6
FI,2022-Q3,44.44
FI,2022-Q4,44.56
FI,2023-Q1,44.7
FI,2023-Q2,44.44
FI,2023-Q3,44.69
FI,2023-Q4,44.79
FI,2024-Q1,44.99
FI,2024-Q2,45.11
FI,2024-Q3,45.3
FI,2024-Q4,45.27
FI,2025-Q1,45.34
FR,2009-Q4,37.61
FR,2010-Q1,37.72
FR,2010-Q2,37.52
FR,2010-Q3,37.57
FR,2010-Q4,37.65
FR,2011-Q1,37.81
FR,2011-Q2,37.77
FR,2011-Q3,37.21
FR,2011-Q4,37.4
FR,2012-Q1,37.76
FR,2012-Q2,37.68
FR,2012-Q3,37.77
FR,2012-Q4,38.08
FR,2013-Q1,38.29
FR,2013-Q2,38.21
FR,2013-Q3,38.36
FR,2013-Q4,38.54
FR,2014-Q1,38.99
FR,2014-Q2,39.06
FR,2014-Q3,38.93
FR,2014-Q4,39.14
FR,2015-Q1,39.64
FR,2015-Q2,39.46
FR,2015-Q3,39.09
FR,2015-Q4,39.3
FR,2016-Q1,39.13
FR,2016-Q2,38.97
FR,2016-Q3,38.92
FR,2016-Q4,39.57
FR,2017-Q1,39.63
FR,2017-Q2,39.62
FR,2017-Q3,39.49
FR,2017-Q4,39.54
FR,2018-Q1,39.52
FR,2018-Q2,39.62
FR,2018-Q3,39.6
FR,2018-Q4,39.37
FR,2019-Q1,39.86
FR,2019-Q2,40.08
FR,2019-Q3,40.16
FR,2019-Q4,40.35
FR,2020-Q1,39.55
FR,2020-Q2,39.99
FR,2020-Q3,40.01
FR,2020-Q4,40.48
FR,2021-Q1,40.74
FR,2021-Q2,40.92
FR,2021-Q3,40.71
FR,2021-Q4,41.05
FR,2022-Q1,40.59
FR,2022-Q2,40
FR,2022-Q3,39.73
FR,2022-Q4,40.15
FR,2023-Q1,40.64
FR,2023-Q2,40.77
FR,2023-Q3,40.52
FR,2023-Q4,41.12
FR,2024-Q1,41.5
FR,2024-Q2,41.18
FR,2024-Q3,41.26
FR,2024-Q4,41.16
FR,2025-Q1,41.29
GR,2009-Q3,31.05
GR,2009-Q4,30.44
GR,2010-Q1,30.31
GR,2010-Q2,29.99
GR,2010-Q3,30.28
GR,2010-Q4,29.78
GR,2011-Q1,29.74
GR,2011-Q2,29.52
GR,2011-Q3,29.34
GR,2011-Q4,29.11
GR,2012-Q1,29.41
GR,2012-Q2,29.46
GR,2012-Q3,29.63
GR,2012-Q4,29.67
GR,2013-Q1,29.31
GR,2013-Q2,29.55
GR,2013-Q3,29.89
GR,2013-Q4,29.98
GR,2014-Q1,30.55
GR,2014-Q2,30.51
GR,2014-Q3,30.19
GR,2014-Q4,30.08
GR,2015-Q1,30.84
GR,2015-Q2,30.98
GR,2015-Q3,31.06
GR,2015-Q4,31
GR,2016-Q1,30.77
GR,2016-Q2,30.79
GR,2016-Q3,31.1
